,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
USDINR_Return,144.0,0.26,1.42,-6.093,-0.485,0.243,1.082,4.558,-0.444,2.731
Oil_Return,144.0,-0.416,11.281,-79.824,-5.488,0.497,5.589,33.511,-2.307,16.612
Gold_Return,144.0,0.888,4.051,-8.494,-1.926,0.334,3.509,11.262,0.239,-0.277
Inflation_Differential,144.0,2.146,2.377,-2.605,0.601,1.94,4.172,7.046,0.123,-0.839
Interest_Rate_Differential,144.0,4.458,1.166,1.888,3.649,4.717,5.314,6.22,-0.573,-0.698
FPI_Flow,144.0,895.271,3910.529,-15924.0,-1442.25,889.0,3363.0,11162.0,-0.57,2.353
Trade_Balance,144.0,-15437.529,6883.352,-41686.39,-19270.348,-14427.835,-10612.11,793.17,-0.775,1.057
FX_Reserves_Change,144.0,1980.514,8915.515,-27226.0,-2510.75,2496.0,7503.0,24996.0,-0.584,1.461
VIX,144.0,18.09,6.622,9.51,13.532,16.33,20.553,53.54,1.962,5.901
Broad_USD_Return,144.0,0.171,1.576,-3.857,-1.023,-0.032,1.443,4.058,-0.003,-0.368
